Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
UOL Notícias,UOLNoticias,124493634232128,MEDIA_NEWS_COMPANY,BR,"As últimas notícias do Brasil e do mundo nas áreas de política, economia, cotidiano, ciência, tecnologia, educação e mais.",2010-05-07 20:53:31,5577679,6543514,2023-01-09 22:40:59 BRT,2023-01-09,22:40:59,Link,87,44,24,6,0,1,0,4,8,0,,-,0,0,0,N/A,https://www.facebook.com/124493634232128/posts/7717726424908773,"O ataque golpista contra prédios do governo brasileiro vinha sendo orquestrado há pelo menos duas semanas semanas através do WhatsApp, Telegram e redes sociais",https://www.uol.com.br/tilt/noticias/redacao/2023/01/09/como-redes-sociais-ajudaram-na-invasao-ao-congresso-em-brasilia.htm?utm_source=facebook&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,https://www.uol.com.br/tilt/noticias/redacao/2023/01/09/como-redes-sociais-ajudaram-na-invasao-ao-congresso-em-brasilia.htm,,'Festa da Selma': como redes sociais foram usadas para ataques ao Congresso,O ataque golpista contra prédios do governo brasileiro vinha sendo orquestrado há pelo menos duas se,,,,87,-20.08
CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1229798,1278516,2023-01-11 16:55:12 BRT,2023-01-11,16:55:12,Photo,84,14,47,6,0,0,8,7,2,0,,-,0,0,0,N/A,https://www.facebook.com/101826228779402/posts/532527969042557,"A invasão das sedes dos três poderes em Brasília foi organizada via online e era apelidada de “Festa da Selma“. Num mapa intitulado de “Viagem para Praia“, a organização divulgou os pontos onde se podia apanhar um autocarro para Brasília e escreveu que o evento ia ser violento. A ‘Selma’ “quer somente adultos dispostos para participarem de todas as brincadeiras, entre elas: tiro ao alvo, polícia e ladrão, dança dos índios, pega pega, e outras”. Veja a mensagem completa em https://swki.me/SYEC1kjl:=:https://cnnportugal.iol.pt/brasil/ataques/festa-da-selma-usado-como-nome-de-codigo-para-os-ataques-no-brasil/20230111/63bf09510cf2665294d05fbd",https://www.facebook.com/cnnportugal/photos/a.129237229371635/532527969042557/?type=3,,,Timeline photos,,,,,84,-5.74
Horta Urbana,hortaurbanagrowshop,100064875152527,LOCAL,BR,"Loja Horta Urbana focada na agricultura urbana, com os melhores produtos e informações para nossos",2012-07-01 21:35:28,709354,764405,2023-01-11 09:08:24 BRT,2023-01-11,09:08:24,Link,77,43,3,18,0,1,0,3,9,0,,-,0,0,0,N/A,https://www.facebook.com/100064875152527/posts/559873932851774,Bolsonarismo é uma organização criminosa terrorista de ordem nazifascista!,https://noticias.uol.com.br/politica/ultimas-noticias/2023/01/11/mapa-online-onibus-brasilia-ato-golpista-8-janeiro-preparacao-confronto.htm,,,Preparação para ato golpista teve mapa online e previu confronto violento,"O mapa se chama ""Viagem para Praia"". Mas, em vez de pontos turísticos, estão listadas 43 cidades no Brasil onde se podia pegar ônibus para a ""festa da Selma"", com contatos dos organizadores dos transportes. A festa se refere aos atos de 8 de janeiro, q",,,,77,1
Metrópoles,metropolesdf,1505574649732513,MEDIA_NEWS_COMPANY,BR,"O seu portal de notícias. Tudo sobre política, saúde, justiça, comportamento, entretenimento. Confira os fatos relevantes do país e do mundo em tempo real. ",2015-06-17 14:29:14,2352833,2623745,2023-01-09 13:30:10 BRT,2023-01-09,13:30:10,Link,76,32,12,12,0,0,6,0,14,0,,-,0,0,0,N/A,https://www.facebook.com/1505574649732513/posts/3384228551867104,"Um desses códigos usados pelos extremistas seria a palavra ""Selma"", em alusão a ""Selva"", que é um grito de guerra entre militares #MetrópolesBrasil #Notícias #metrópoles",https://www.metropoles.com/brasil/politica-brasil/festa-da-selma-extremistas-usaram-codigos-para-planejar-invasoes,,,“Festa da Selma”: extremistas usaram códigos para planejar invasões | Metrópoles,"Um desses códigos usados pelos extremistas seria a palavra ""Selma"", em alusão a ""Selva"", que é um grito de guerra entre militares",,,,76,-3.59
TecMundo,tecmundo,111090485635468,NEWS_SITE,BR,Tecnologia simples para todos.,2011-02-16 16:55:10,6916340,7030231,2023-01-09 18:45:10 BRT,2023-01-09,18:45:10,Link,73,25,31,5,0,1,8,0,3,0,,-,0,0,0,N/A,https://www.facebook.com/111090485635468/posts/5965509566860168,Entenda o que é a 'Festa da Selma' e como vândalos já falavam (e continuam falando) sobre o movimento golpista deste domingo nas redes sociais! #tecmundo,https://www.tecmundo.com.br/redes-sociais/257980-festa-selma-extremistas-organizaram-golpe-redes-sociais.htm,,,Festa da Selma: como extremistas organizaram golpe pelas redes sociais,Entenda o que é a 'Festa da Selma' e como os vândalos já falavam (e continuam falando) sobre o movimento golpista deste domingo nas redes sociais!,,,,73,-4.92
Jornal Extra,jornalextra,100064293715621,NEWS_SITE,BR,"Página oficial do jornal EXTRA. Notícias sobre empregos, polícia, famosos, TV, futebol e Rio de J",2011-02-21 15:39:52,2756868,2998692,2023-01-08 20:29:05 BRT,2023-01-08,20:29:05,Link,71,30,11,12,1,1,7,1,8,0,,-,0,0,0,N/A,https://www.facebook.com/100064293715621/posts/554417980044654,Bolsonaristas usaram em algumas mensagens 'festa da Selma' para despistar. http://glo.bo/3vNSddW:=:https://extra.globo.com/noticias/politica/convocacoes-para-invasao-no-df-circulam-no-whatsapp-desde-5-de-janeiro-com-expressao-para-burlar-monitoramento-25640753.html #JornalExtra,http://glo.bo/3vNSddW,https://extra.globo.com/noticias/politica/convocacoes-para-invasao-no-df-circulam-no-whatsapp-desde-5-de-janeiro-com-expressao-para-burlar-monitoramento-25640753.html,,Convocações para invasão no DF circulam no WhatsApp desde 5 de janeiro com expressão para burlar monitoramento,Grupos de WhatsApp tiveram papel central na organização da invasão das sedes dos Três Poderes por terroristas apoiadores do ex-presidente Jair Bolsonaro neste...,,,,71,-15.01
SBT News,sbtnewsoficial,100343071774494,NEWS_SITE,BR,A sua fonte segura de informação,2020-07-21 22:29:41,1249502,1939799,2023-01-09 04:16:27 BRT,2023-01-09,04:16:27,Link,69,25,32,2,0,0,10,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100343071774494/posts/712046087270853,"PF analisa redes sociais de envolvidos em atos de vandalismo no DF; ""Festa da Selma"" foi um dos termos usados #sbtnews",https://www.sbtnews.com.br/noticia/politica/235661-protesto-foi-organizado-em-redes-e-com-uso-de-codigos?utm_medium=Social&utm_source=Facebook#Echobox=1673234152,https://www.sbtnews.com.br/noticia/politica/235661-protesto-foi-organizado-em-redes-e-com-uso-de-codigos,,Protesto foi organizado em redes e com uso de códigos,,,,,69,-2.14
Carta Maior,facecartamaior,194552750585551,NEWS_SITE,BR,Visite nosso site: www.cartamaior.com.br,2011-03-16 19:43:14,276728,273907,2023-01-09 17:43:59 BRT,2023-01-09,17:43:59,Link,67,51,3,12,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/194552750585551/posts/9168415869865816,"𝗜𝗺𝗽𝗿𝗲𝗻𝘀𝗮 𝗺𝘂𝗻𝗱𝗶𝗮𝗹 𝗿𝗲𝗽𝗲𝗿𝗰𝘂𝘁𝗲 𝘁𝗲𝗻𝘁𝗮𝘁𝗶𝘃𝗮 𝗱𝗲 𝗴𝗼𝗹𝗽𝗲 𝗻𝗼 𝗕𝗿𝗮𝘀𝗶𝗹 1 Le Monde (França) Motins no Brasil: nas redes sociais, uma tentativa de insurreição organizada a céu aberto Dezenas de mensagens pedindo um ataque aos locais em que se concentra o poder em Brasília circularam antes e durante a violência de domingo. Online, os sinais de alerta eram mais do que perceptíveis. O assalto ao Supremo Tribunal Federal, ao Congresso e ao Palácio do Planalto por partidários do ex-presidente Jair Bolsonaro no domingo, 8 de janeiro, de fato deixou muitos vestígios de seu desenvolvimento nas redes sociais. https://www.lemonde.fr/pixels/article/2023/01/09/emeutes-au-bresil-sur-les-reseaux-sociaux-une-tentative-d-insurrection-organisee-a-ciel-ouvert_6157164_4408996.html 2 Libération (França) ""Apoio inabalável"", ""Lula não está sozinho"": os motins em Brasília provocam indignação internacional A invasão de domingo ao Congresso, ao Supremo Tribunal Federal e ao Palácio do Planalto por centenas de bolsonaristas provocou muitas reações de chefes de Estado estrangeiros. Após a invasão, domingo em Brasília, das principais sedes do poder - Congresso, Supremo Tribunal Federal e Palácio do Planalto - por centenas de apoiadores do ex-presidente de extrema-direita Jair Bolsonaro, as reações internacionais foram rápidas condenar o caos semeado na Praça dos Três Poderes. No Brasil, Luiz Inácio Lula da Silva, o presidente eleito em 30 de outubro e recém-empossado, condena de Araraquara, no estado de São Paulo, a onda “sem precedentes” de “vândalos fascistas”. ""Vamos encontrar todos eles e todos serão punidos"", disse ele. A democracia garante a liberdade de expressão, mas também exige que as instituições sejam respeitadas.” O presidente francês Emmanuel Macron foi rápido em tuitar na noite de domingo pedindo “respeito às instituições democráticas”: “A vontade do povo brasileiro e as instituições democráticas devem ser respeitadas! O presidente Lula pode contar com o apoio inabalável da França.” Nos Estados Unidos, onde a invasão ecoa a invasão do Capitólio pelos trumpistas em 6 de janeiro de 2021, Joe Biden, seguindo os passos do assessor da Casa Branca Jake Sullivan, considerou ""escandalosa"" a violência dos manifestantes. Canadá, China e Alemanha “condenaram veementemente” esses ataques considerados antidemocráticos. No Twitter, Justin Trudeau, primeiro-ministro canadense, falou em “atos violentos” inaceitáveis. “O respeito ao direito democrático do povo é fundamental em qualquer democracia – inclusive no Brasil”, enfatizou. “Nossas instituições democráticas estão no centro de nossas sociedades e devem ser protegidas”, acrescenta o Ministério de Relações Exteriores do Canadá. https://www.liberation.fr/international/amerique/soutien-indefectible-lula-nest-pas-seul-les-emeutes-de-brasilia-indignent-a-linternational-20230109_PQEGEDBGDVCXBANWQTWISBEUHA/?redirected=1:=:https://www.liberation.fr/international/amerique/soutien-indefectible-lula-nest-pas-seul-les-emeutes-de-brasilia-indignent-a-linternational-20230109_PQEGEDBGDVCXBANWQTWISBEUHA/ 3 The Guardian (Inglaterra) Enviado ao Brasil denuncia 'ataque grotesco e fracassado' à democracia Exército e tropa de choque expulsam apoiadores de Bolsonaro de Brasília, enquanto EUA, México e Canadá dizem que ‘apoiam’ instituições democráticas A invasão da extrema-direita à Suprema Corte, ao Congresso e ao palácio presidencial do Brasil foi um “ataque grotesco e fracassado” às suas instituições, disse o embaixador do país no Reino Unido, enquanto as tropas avançavam para desmantelar acampamentos de protesto montados por apoiadores do antigo presidente Jair Bolsonaro. Um dia depois que os pretensos rebeldes atacaram os três ramos do governo em um esforço descarado para derrubar o governo democraticamente eleito de Luiz Inácio Lula da Silva, Fred Arruda, embaixador do Brasil em Londres, disse ao Guardian: “O que aconteceu em Brasília ontem foi uma ataque grotesco e fracassado às nossas instituições. Como disse o presidente Lula, a democracia exige que as pessoas respeitem as instituições.” Ele alertou que os membros da turba sentirão toda a força da lei, acrescentando: “E eles testemunharão uma consequência não intencional de suas ações: a democracia brasileira emergindo ainda mais forte desses episódios sombrios”, disse ele. https://www.theguardian.com/world/2023/jan/09/brazil-bolsonaro-lula-brasilia-attacks-insurrection 4 The Washington Post (EUA) Venham para a 'Festa da Selma': como as mídias sociais ajudaram a causar caos no Brasil Pesquisadores detectaram um aumento na retórica agressiva de negacionistas eleitorais em canais online de extrema-direita antes dos tumultos de domingo Nas semanas que antecederam os violentos ataques de domingo ao Congresso do Brasil e outros prédios do governo, cresceram, nos canais de mídia social do país, apelos para ataques a postos de gasolina, refinarias e outras infraestruturas, bem como para que as pessoas viessem a uma...",https://www.pagina12.com.ar/514327-seis-puntos-clave-para-entender-el-intento-de-golpe-de-estad,,,¿Qué está pasando en Brasil hoy? 6 puntos clave para entender el intento de golpe de estado | Jair Bolsonaro y el plan para tomar el Congreso,"Por AM750, el politólogo brasileño Emir Sader y el sociólogo Atilio Borón explicaron el trasfondo del intento de toma del Congreso, el Planalto y la Corte Suprema y cómo siguen las investigaciones y posiciones políticas. El impacto en la figura de Lula.",,,,67,-1.13
Dr. Rosinha,DrRosinha,100050428032245,POLITICIAN,BR,"Médico pediatra. Servidor público.
@DrRosinha",2011-11-28 14:12:20,54413,53473,2023-01-11 12:04:26 BRT,2023-01-11,12:04:26,Link,64,18,34,10,0,1,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/100050428032245/posts/702960348061560,"Os terroristas bolsonaristas se organizaram para depredar o patrimônio público. Foram estimulados por Bolsonaro e vários outros políticos, entre os quais Sérgio Moro e Magno Malta. “O mapa se chama ""Viagem para Praia"". Mas, em vez de pontos turísticos, estão listadas 43 cidades no Brasil onde se podia pegar ônibus para a ""festa da Selma"", com contatos dos organizadores dos transportes. A festa se refere aos atos de 8 de janeiro, que invadiram e depredaram a sede dos três Poderes da República, em Brasília, em uma tentativa frustrada de golpe”.",https://noticias.uol.com.br/politica/ultimas-noticias/2023/01/11/mapa-online-onibus-brasilia-ato-golpista-8-janeiro-preparacao-confronto.htm,,,Preparação para ato golpista teve mapa online e previu confronto violento,"O mapa se chama ""Viagem para Praia"". Mas, em vez de pontos turísticos, estão listadas 43 cidades no Brasil onde se podia pegar ônibus para a ""festa da Selma"", com contatos dos organizadores dos transportes. A festa se refere aos atos de 8 de janeiro, q",,,,64,-1.3
UOL,UOL,21539158238,MEDIA_NEWS_COMPANY,BR,"Informações atualizadas nas áreas de política, economia, saúde, tecnologia, esporte, entretenimento e conteúdo do público http://www.uol.com.br ",2008-08-25 14:19:07,7747713,8102551,2023-01-11 08:00:01 BRT,2023-01-11,08:00:01,Link,62,19,7,22,0,0,2,0,12,0,,-,0,0,0,N/A,https://www.facebook.com/21539158238/posts/10159108889283239,"EXCLUSIVO: Bolsonaristas utilizaram o código ""festa da Selma"" para organizar a ida de grupos a Brasília e anunciaram ""brincadeiras"" como ""polícia e ladrão"" no local 👇 (via UOL Notícias) #Golpistas #Brasília",https://noticias.uol.com.br/politica/ultimas-noticias/2023/01/11/mapa-online-onibus-brasilia-ato-golpista-8-janeiro-preparacao-confronto.htm?utm_source=facebook&utm_medium=social-media&utm_campaign=uol&utm_content=geral,https://noticias.uol.com.br/politica/ultimas-noticias/2023/01/11/mapa-online-onibus-brasilia-ato-golpista-8-janeiro-preparacao-confronto.htm,,Preparação para ato golpista teve mapa online e previu confronto violento,"O mapa se chama ""Viagem para Praia"". Mas, em vez de pontos turísticos, estão listadas 43 cidades no Brasil onde se podia pegar ônibus para a ""festa da Selma"", com contatos dos organizadores dos transportes. A festa se refere aos atos de 8 de janeiro, q",,,,62,-18.5
UOL,UOL,21539158238,MEDIA_NEWS_COMPANY,BR,"Informações atualizadas nas áreas de política, economia, saúde, tecnologia, esporte, entretenimento e conteúdo do público http://www.uol.com.br ",2008-08-25 14:19:07,7747782,8102165,2023-01-10 18:50:15 BRT,2023-01-10,18:50:15,Link,58,17,23,10,0,1,2,0,5,0,,-,0,0,0,N/A,https://www.facebook.com/21539158238/posts/10159107618113239,Cientista monitora as redes de apoio ao ex-presidente 👇 (via UOL Notícias),https://noticias.uol.com.br/ultimas-noticias/bbc/2023/01/10/o-aumento-assustador-de-referencias-a-refinarias-de-petroleo-em-grupos-bolsonaristas.htm?utm_source=facebook&utm_medium=social-media&utm_campaign=uol&utm_content=geral,https://noticias.uol.com.br/ultimas-noticias/bbc/2023/01/10/o-aumento-assustador-de-referencias-a-refinarias-de-petroleo-em-grupos-bolsonaristas.htm,,Pesquisador vê aumento 'assustador' de menções a refinarias em grupos bolsonaristas,"Além de termos como ""caravana"" e ""festa da Selma"" (uma alusão disfarçada à saudação militar ""selva""), que circularam bastante em redes bolsonaristas antes da invasão a prédios públicos de Brasília no doming",,,,58,-19.78
